Step,Chest Train Loss,Chest Val Loss,Chest Rouge-1,Chest Rouge-2,Chest Rouge-L,Chest Rouge-Lsum,Chest=>Pelvis Train Loss,Chest=>Pelvis Val Loss,Chest=>Pelvis Rouge-1,Chest=>Pelvis Rouge-2,Chest=>Pelvis Rouge-L,Chest=>Pelvis Rouge-Lsum,Pelvis Train Loss,Pelvis Val Loss,Pelvis Rouge-1,Pelvis Rouge-2,Pelvis Rouge-L,Pelvis Rouge-Lsum,Chest=>Pelvis=>MRI Train Loss,Chest=>Pelvis=>MRI Val Loss,Chest=>Pelvis=>MRI Rouge-1,Chest=>Pelvis=>MRI Rouge-2,Chest=>Pelvis=>MRI Rouge-L,Chest=>Pelvis=>MRI Rouge-Lsum,MRI Train Loss,MRI Val Loss,MRI Rouge-1,MRI Rouge-2,MRI Rouge-L,MRI Rouge-Lsum,Chest=>Pelvis=>MRI=>PetCT Train Loss,Chest=>Pelvis=>MRI=>PetCT Val Loss,Chest=>Pelvis=>MRI=>PetCT Rouge-1,Chest=>Pelvis=>MRI=>PetCT Rouge-2,Chest=>Pelvis=>MRI=>PetCT Rouge-L,Chest=>Pelvis=>MRI=>PetCT Rouge-Lsum,PetCT Train Loss,PetCT Val Loss,PetCT Rouge-1,PetCT Rouge-2,PetCT Rouge-L,PetCT Rouge-Lsum
6500,0.6874,0.804874,65.8961,43.2587,64.0046,65.1362,0.5999,0.807302,62.9189,40.0451,61.441,62.2745,0.6292,0.840645,46.5186,28.8405,44.9965,45.9421,0.5017,0.907301,57.739,40.4019,56.0271,57.0037,0.5099,0.903242,50.1948,34.8966,48.5238,49.5266,0.5037,0.836169,64.8968,48.0363,63.2601,64.4,0.5157,0.847859,61.8339,45.2812,60.0657,61.262
7000,0.665,0.801723,66.0601,43.4308,64.2067,65.334,0.6677,0.802772,63.7159,41.0029,62.2263,63.0917,0.6984,0.832505,46.3099,29.0884,44.7619,45.6604,0.5298,0.900411,60.7787,42.9649,58.9774,60.0454,0.5434,0.898666,49.2276,34.2375,47.6062,48.5842,0.4907,0.832153,65.3754,48.4285,63.6396,64.804,0.4991,0.842518,61.2774,44.7932,59.5903,60.7624
7500,0.6899,0.794941,65.5519,43.3012,63.6809,64.8549,0.6406,0.799428,63.2679,40.7211,61.741,62.616,0.6718,0.827795,48.745,30.6995,47.1673,48.1165,0.5404,0.894965,57.9797,40.8349,56.2375,57.2421,0.5441,0.891677,47.3006,32.9289,45.6582,46.664,0.5306,0.827197,66.1778,49.0911,64.4534,65.584,0.547,0.835842,60.177,43.9581,58.4448,59.6463
8000,0.6428,0.796414,63.1368,41.7375,61.2714,62.3959,0.5708,0.804093,62.8955,40.5048,61.4307,62.3063,0.6028,0.830421,47.9415,30.2969,46.384,47.3077,0.4683,0.908195,59.8843,42.3032,58.0783,59.1239,0.4728,0.903019,47.921,33.3471,46.2398,47.2741,0.4442,0.83804,63.7366,47.1337,62.0542,63.1374,0.4595,0.84389,61.2715,44.8853,59.5347,60.7179
8500,0.6347,0.793409,64.1631,42.4348,62.2785,63.4669,0.5666,0.800924,62.7582,40.4939,61.2722,62.1552,0.5953,0.824953,50.0648,31.6902,48.5431,49.4649,0.4828,0.906539,62.8273,44.7759,61.092,62.0799,0.492,0.900597,48.3363,33.7214,46.673,47.6922,0.479,0.833368,64.6495,47.9819,63.0195,64.0871,0.4899,0.837974,59.5512,43.6001,57.8644,59.0095
9000,0.6742,0.787493,65.0548,43.0155,63.188,64.3208,0.5739,0.799222,62.4575,40.3164,60.9519,61.8399,0.6056,0.821324,52.4058,33.0449,50.8557,51.7626,0.4756,0.902925,61.3486,43.6054,59.6146,60.6031,0.486,0.896091,48.0697,33.5542,46.4059,47.4415,0.4843,0.830103,63.733,47.223,62.0641,63.19,0.4995,0.835426,60.0171,43.9372,58.2756,59.5013
9500,0.6451,0.784782,65.0146,42.9487,63.1159,64.2683,0.5926,0.797595,62.986,40.5483,61.4798,62.3308,0.6232,0.81837,52.3686,33.3195,50.8223,51.7483,0.5516,0.900679,61.327,43.5116,59.5496,60.5807,0.5606,0.893581,48.9448,34.2306,47.2615,48.2825,0.4353,0.828797,63.773,47.258,62.0956,63.2132,0.4439,0.835431,61.0206,44.795,59.2721,60.479
10000,0.6566,0.782432,64.7712,43.012,62.9448,64.0481,0.5621,0.796501,62.8751,40.6185,61.3995,62.2586,0.5986,0.816418,51.6815,32.8936,50.1479,51.0683,0.4697,0.898627,61.3066,43.6551,59.5682,60.5692,0.4716,0.891475,49.0949,34.4351,47.422,48.456,0.4823,0.828085,63.7731,47.2907,62.0932,63.226,0.4953,0.831744,61.7537,45.4883,60.0203,61.2303
10500,0.5761,0.78515,64.3003,42.6265,62.4693,63.6018,0.5418,0.800053,62.4915,40.4363,60.9948,61.8838,0.579,0.818373,50.4959,32.0912,48.9603,49.8885,0.4662,0.910045,60.9615,43.3611,59.2237,60.2218,0.4713,0.901703,49.3851,34.6419,47.7014,48.7382,0.3948,0.835692,64.1125,47.6005,62.3951,63.549,0.4018,0.838877,61.852,45.4994,60.0654,61.2868
11000,0.6216,0.784329,64.076,42.438,62.2437,63.3674,0.537,0.799731,62.3857,40.3198,60.9032,61.7587,0.5653,0.817932,50.4425,32.0108,48.881,49.8307,0.4376,0.911003,60.9188,43.2775,59.1761,60.1879,0.4455,0.901545,49.6391,34.8354,47.9454,48.9866,0.4145,0.835533,63.5207,47.0956,61.8407,62.9495,0.4217,0.838581,61.9221,45.5345,60.0998,61.3577
11500,0.5864,0.783652,64.0804,42.4885,62.2437,63.39,0.5685,0.799622,62.475,40.4365,60.9787,61.8322,0.5998,0.81737,50.3716,31.9726,48.8322,49.7632,0.4551,0.910465,61.3199,43.5904,59.5564,60.5737,0.4638,0.901027,49.7065,34.8686,47.9834,49.0443,0.4143,0.835682,63.75,47.2638,62.0376,63.1863,0.4227,0.83887,61.7267,45.4224,59.9547,61.1893
12000,0.572,0.783121,64.1052,42.4242,62.2658,63.3982,0.5371,0.799709,62.5742,40.5146,61.0722,61.9293,0.5648,0.817265,50.3169,31.9284,48.769,49.7108,0.4924,0.91045,61.3339,43.6512,59.582,60.5807,0.4941,0.901127,49.6817,34.8268,47.9608,49.0148,0.4178,0.835244,63.7764,47.2835,62.0627,63.214,0.4328,0.837845,61.7838,45.4583,60.0189,61.2503
12500,0.64,0.783013,64.0749,42.4132,62.2323,63.3747,0.54,0.799698,62.5377,40.4966,61.0315,61.8901,0.5689,0.817266,50.3739,32.0135,48.8273,49.7786,0.4947,0.910513,61.2988,43.6022,59.5405,60.5437,0.5,0.901249,49.6791,34.8214,47.9541,49.0131,0.433,0.835262,63.7427,47.2615,62.0306,63.1812,0.442,0.837877,61.8184,45.503,60.047,61.2822
